,property_id,description_beds,description_baths,description_baths_full,description_baths_half,description_baths_1qtr,description_baths_3qtr,description_garage,description_stories,description_type,description_sub_type,description_lot_sqft,description_sqft,description_year_built,description_sold_price,description_sold_date,description_name,location_street_view_url,location_address_line,location_address_postal_code,location_address_state,location_address_state_code,location_address_city,location_address_coordinate_lat,location_address_coordinate_lon,location_county_name,location_county_fips_code,tax_record_public_record_id
0,3329494188,5,,,,,,,0,single_family,,16287,0,,296000,2022-08-17,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9807%20Grenfell%20Way%2C%20Louisville%2C%20KY%2040242&size=640x480&source=outdoor&signature=PBXihS-02NRjNDTihY_cv8FcCb0=,9807 Grenfell Way,40242,Kentucky,KY,Louisville,38.283214,-85.573137,Jefferson,21111,F5F627B5486AA739F04CAE8822A400FB
1,4567196563,4,,3.0,,,,2.0,0,single_family,,20996,2500,1993.0,355000,2022-08-17,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=17013%20Camberwell%20Ct%2C%20Louisville%2C%20KY%2040245&size=640x480&source=outdoor&signature=5LjlUO23Q_5Q2LDl2EKwGomqV5w=,17013 Camberwell Ct,40245,Kentucky,KY,Louisville,38.227259,-85.480892,Jefferson,21111,8B56DB3264B1A79DF0ABB9B999F1AB78
2,4167934331,4,3.0,2.0,1.0,,,2.0,2,single_family,,8712,2573,1948.0,410000,2022-08-01,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4434%20Blenheim%20Rd%2C%20Louisville%2C%20KY%2040207&size=640x480&source=outdoor&signature=Wpmc9kuNCLZyY992XxR0fX7m324=,4434 Blenheim Rd,40207,Kentucky,KY,Louisville,38.255927,-85.632666,Jefferson,21111,90F988BAFDF0F21B3A91A13FE37BEDF5
3,3936470487,4,,2.0,1.0,,,,0,single_family,,13778,0,,467000,2022-07-25,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=908%20Brierly%20Hill%20Ct%2C%20Louisville%2C%20KY%2040299&size=640x480&source=outdoor&signature=8inXvH1GZe66Dv6LlekeLixBF4g=,908 Brierly Hill Ct,40299,Kentucky,KY,Louisville,38.228587,-85.526545,Jefferson,21111,665E5AB6BD0DD45413526D7599F73BA4
4,3871094651,6,5.0,4.0,1.0,,,3.0,2,single_family,,12916,4547,1998.0,605000,2022-06-13,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1209%20Winterbranch%20Way%2C%20Louisville%2C%20KY%2040245&size=640x480&source=outdoor&signature=EOTUCI--xwz0wDGqw6td_SftLlc=,1209 Winterbranch Way,40245,Kentucky,KY,Louisville,38.254793,-85.477898,Jefferson,21111,821B8B5284E7B426B82EAB174B5F245A
5,4023162442,4,,3.0,,,,2.0,0,single_family,,14601,3600,1983.0,520000,2022-06-07,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=312%20Lake%20Forest%20Pkwy%2C%20Louisville%2C%20KY%2040245&size=640x480&source=outdoor&signature=t_tpbKbPn-XXMdpWltZBSjUWrFI=,312 Lake Forest Pkwy,40245,Kentucky,KY,Louisville,38.245999,-85.491578,Jefferson,21111,E18D704C6F0C7C9243AA3B9C33E96CE7
6,4910725394,4,,2.0,1.0,,,2.0,0,single_family,,8712,2300,1977.0,420000,2022-06-06,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10602%20Findon%20Ct%2C%20Douglass%20Hills%2C%20KY%2040243&size=640x480&source=outdoor&signature=wkkXrlPgI4uRpm36lR1WoSxQ2h0=,10602 Findon Ct,40243,Kentucky,KY,Douglass Hills,38.232935,-85.558523,Jefferson,21111,E722AB824E35A4DF910EE8ACF6860A81
7,4277416595,4,,3.0,1.0,,,2.0,0,single_family,,19776,2750,,495000,2022-05-23,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10602%20Red%20Birch%20Ct%2C%20Louisville%2C%20KY%2040223&size=640x480&source=outdoor&signature=QdOdpzzy9L7Ipts19tZjPCulK94=,10602 Red Birch Ct,40223,Kentucky,KY,Louisville,38.258364,-85.559165,Jefferson,21111,FFFDF49ED476973710219EC4E6D7DD9C
8,4586706247,5,,3.0,,,,,0,single_family,,50,6200,1907.0,390000,2022-05-23,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3141%20Brownsboro%20Rd%2C%20Louisville%2C%20KY%2040206&size=640x480&source=outdoor&signature=ebIa7IrxdMT1EZgtISR_TiR1nXg=,3141 Brownsboro Rd,40206,Kentucky,KY,Louisville,38.262316,-85.681913,Jefferson,21111,79EB22E3D494B0C0FC4913D9E8429758
9,3962307158,4,,2.0,,,,3.0,0,single_family,,18888,3600,1986.0,830000,2022-05-10,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6408%20Lime%20Ridge%20Pl%2C%20Louisville%2C%20KY%2040222&size=640x480&source=outdoor&signature=eq-IDj0RHnSQRhp6tdzhwIVbqqk=,6408 Lime Ridge Pl,40222,Kentucky,KY,Louisville,38.288388,-85.632385,Jefferson,21111,64036074901BB7B3D5FCC5AA89C60941
10,4026467738,4,,3.0,1.0,,,2.0,0,single_family,,12990,3500,,450000,2022-04-20,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=506%20Trotwood%20Pl%2C%20Louisville%2C%20KY%2040245&size=640x480&source=outdoor&signature=KWFwbMAEphCgGiBaW5ufSX4O_bs=,506 Trotwood Pl,40245,Kentucky,KY,Louisville,38.232064,-85.484192,Jefferson,21111,468CEC91E6C25F8913DE7FDD2C97B6CB
11,3370778554,4,,2.0,,,,,0,single_family,,8499,2150,,333000,2022-04-07,,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=219%20Brown%20Ave%2C%20Saint%20Matthews%2C%20KY%2040207&size=640x480&source=outdoor&signature=D-4hFA_2PUiNN-N7KoPzV8uxohA=,219 Brown Ave,40207,Kentucky,KY,Saint Matthews,38.255834,-85.647021,Jefferson,21111,F990A36DC2BA4EF51945C4177BC76280
